index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,reg_fit_intercept,lasso_alpha,ridge_alpha,ridge_solver,el_net_alpha,el_net_l1_ratio,knr_n_neighbors,knr_weights,knr_p,linear_regression_mse,lasso_mse,ridge_mse,elastic_net_mse,knr_mse
56,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,3.755046855647869e+21,570.2028602751063,570.0848669758623,570.1287555391757,0.8490598387508665
57,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,572.3235386361215,570.2392665942981,570.4569665104823,570.1254035199121,0.8084009468396879
58,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,15,distance,1,6.70796103632288e+20,570.3146885821619,570.1910719922098,570.2158155616833,0.9274228588948352
59,False,False,True,False,3,True,1.0,1.0,auto,1.0,0.5,15,distance,2,569.6793349490365,570.1702006856142,569.9094294783732,570.0959853719122,0.7739449855866644
60,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,569.5413211761945,572.5721569321814,569.4567975168078,576.5213695020195,0.8789418809862859
61,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,569.7885209301672,573.1146855613957,569.908047333773,577.1355735125926,0.9335186867904016
62,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,5,distance,1,1.296051192515036e+21,573.7648820777646,570.3262865129262,577.7455130980873,1.0569533788464311
63,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,5,distance,2,570.049898175429,572.6575476905234,570.0148791129934,576.5583281060569,0.9499402373789614
64,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,2.4489733188700377e+21,573.8815868839438,570.0565328980972,577.9354798117812,0.8949464905716502
65,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,4.187685240120131e+21,573.0295226318649,569.7439525877702,577.0073270783525,0.8851367295681577
66,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,10,distance,1,1.0577101706340472e+21,572.8164943933763,569.833866283446,576.7633385799704,0.8974317306575734
67,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,10,distance,2,571.0428973022188,572.408586093548,570.5442593430417,576.4110865475229,0.9012350078071496
68,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,2.333740773371437e+21,573.3514042194097,570.276694972326,577.3767961207327,0.8723804806187113
69,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,1.6900734244639364e+21,573.813764193226,571.6474031202267,577.8542953292077,0.8381909838460226
70,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,15,distance,1,7.140388459870731e+21,574.176098581903,571.0808861784362,578.2701293654333,0.9111398567861252
71,False,False,True,False,3,False,1.0,1.0,auto,1.0,0.5,15,distance,2,2.9903649244880075e+21,573.9192075133068,570.0746956260555,577.8647412297903,0.8672079852649727
72,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,5.497272018574382e+22,570.2731873113438,568.5478187966659,570.2898194157558,0.9563087476260655
73,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,1.3751731245070304e+23,570.0738869526496,571.2318396515883,570.1133333257274,0.9134525779426568
74,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,5,distance,1,3.693729504235706e+23,570.3049457932236,571.0760582228456,570.2944724091135,1.0249674480822857
75,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,5,distance,2,1.8526645271797663e+22,570.1466545562989,568.6030101302315,570.1550908475895,0.9921344827104001
76,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,1.739329716344289e+23,570.3464470093093,570.9558998606901,570.3256612556062,0.8748827839716276
77,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,7.449912489256167e+21,570.0879293636162,570.8619341996466,570.0766134380626,0.8745073138726193
78,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,10,distance,1,1.2234798073825487e+22,570.0377497984232,570.8104642814473,570.0689493878751,0.9212538433849043
79,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,10,distance,2,1.0320461214658704e+23,569.9242695853728,571.0010194946842,569.9478723651298,0.8590366095765946
80,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,2.692023046160766e+22,570.1296712645667,570.9597282848069,570.1512544207378,0.8746835525403801
81,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,1.823464914335264e+22,570.1428629900718,570.2152411918203,570.1502888296305,0.8229885729312869
82,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,15,distance,1,1.4993651237871344e+22,570.0980434215741,570.4134262243133,570.0714617176028,0.8774126736298141
83,False,False,True,False,4,True,1.0,1.0,auto,1.0,0.5,15,distance,2,9.589331050091577e+21,570.2080950900812,569.1536883861838,570.1155734391549,0.8612789910092689
84,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,5,uniform,1,3.184812738494551e+22,576.6859331530686,571.023548299425,578.537633075819,0.8879279347515086
85,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,5,uniform,2,7.777906478635722e+19,577.9749418393055,570.5608567370283,579.6540955586004,0.9219773067212316
86,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,5,distance,1,3.78281380050895e+22,577.2989102145842,571.9906450434537,579.2278431329223,1.0507381797223787
87,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,5,distance,2,4.760346170410133e+21,577.5447394313671,571.9457240925834,579.0789195143278,0.965665046601299
88,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,10,uniform,1,1.186974814383168e+23,578.5076284797931,571.9068801692614,580.1295070708543,0.8752905355574445
89,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,10,uniform,2,2.6338396919756952e+22,578.6801404716747,570.8473424196445,580.3965943466843,0.8735244925050374
90,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,10,distance,1,1.3157361616972197e+22,576.6499291066852,568.4390158041903,578.3320833111895,0.9202400853501084
91,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,10,distance,2,2.4954944837331773e+22,576.9012625953194,571.7526523709436,578.7953725410392,0.8651398532626999
92,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,15,uniform,1,1.2263039894531948e+21,577.0663045098922,568.8398183911985,579.0367881023773,0.8724750269039289
93,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,15,uniform,2,3.91179105620792e+21,578.1084312716102,570.7534928544443,579.9262663557778,0.8732780077959497
94,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,15,distance,1,4.084971061818231e+21,576.4153910455012,571.037160911284,578.2075086150243,0.8239057973457278
95,False,False,True,False,4,False,1.0,1.0,auto,1.0,0.5,15,distance,2,1.1189902359792443e+22,577.7001097949759,570.9111422990674,579.4834322160043,0.8190672261971457
96,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,5,uniform,1,6.560204549499681e+18,570.2659128999896,576.6713371954293,570.3791597560643,0.9356928237348064
97,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,5,uniform,2,57580.179026360674,570.0818498648308,571.2605177721965,570.1539392445827,0.9490931459538041
98,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,5,distance,1,106512.31892155428,570.3948930909138,569.3797665966097,570.3148216747451,0.8958299608503321
99,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,5,distance,2,76914.39180223743,570.1256450562503,571.6519988797149,570.0845346121213,0.9516933266055376
100,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,10,uniform,1,3114.097926224673,570.1014290177396,567.5109778300098,570.0355091233827,0.8285520963623144
101,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,10,uniform,2,176645.8153532527,570.2762839008917,571.9618127710918,570.3875182970926,0.9093370476984436
102,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,10,distance,1,4.800459970604009e+20,570.0802922286894,568.731608815361,570.0573584713967,0.9503154570109598
103,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,10,distance,2,5380.928673185166,570.1486050292525,570.5890938374063,570.109515662406,0.8865644896681417
104,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,15,uniform,1,5.276435835681559e+19,570.0927149408465,570.5449069020362,570.0712559124121,0.846016659549691
105,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,15,uniform,2,10632366.33855888,570.2793561291184,573.9006935215929,570.2727750088328,0.8529940608006585
106,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,15,distance,1,14236715.681618325,570.1848160764349,573.0967176078766,570.1683897683674,0.853143131400689
107,False,False,True,False,5,True,1.0,1.0,auto,1.0,0.5,15,distance,2,7024.468453708542,570.2075326199616,568.2418612345316,570.1633919428065,0.8483045110578695
