index,keep_incomplete_data,normalize_data,standardize_data,full_one_hot,polynomial_degree,logistic_penalty,logistic_C,logistic_solver,logistic_multiclass,random_forest_n_estimators,random_forest_criterion,knn_n_neighbours,knn_algorithm,knn_p,Logistic_Acuracy,KNN_Acuracy,Random_forest_Acuracy,Logistic_Precision,KNN_Precision,Random_forest_Precision,Logistic_F1,KNN_F1,Random_forest_F1
924,False,True,True,False,3,l2,1.0,newton-cg,multinomial,100,gini,3,auto,1,0.7833784361202109,0.8595356786782509,0.917105825381,0.7874849878312992,0.8657175581945561,0.9195248524331672,0.7834485172000518,0.8603156076931006,0.9172228605438202
925,False,True,True,False,3,l2,1.0,newton-cg,multinomial,100,gini,3,auto,2,0.7749465888050137,0.8527845036319613,0.94248682523857,0.7803140930960757,0.8641859239194764,0.9470646105737748,0.7726733270749788,0.8544721798553475,0.942548137800193
926,False,True,True,False,3,l2,1.0,newton-cg,multinomial,100,gini,4,auto,1,0.8020652328728101,0.8698191140863125,0.9424583392679106,0.8054374654577761,0.8739435125793686,0.9475104352459084,0.8019334089915733,0.8697279829348273,0.9428459907218854
927,False,True,True,False,3,l2,1.0,newton-cg,multinomial,100,gini,4,auto,2,0.7952285999145421,0.8662726107392109,0.94248682523857,0.8054524002903264,0.8724149074860371,0.9451754785813622,0.7966875323878824,0.8656272956150346,0.9427981511928784
928,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,1,auto,1,0.7986611593790058,0.9069648198262356,0.9357926221335992,0.803744105816655,0.9105641904461732,0.9383274852284784,0.7987274831024356,0.9072533082081572,0.9360501753765258
929,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,1,auto,2,0.7563594929497224,0.8849878934624696,0.9271898589944452,0.7650198743591963,0.8877334965371059,0.9291980440720364,0.7566132818624395,0.8848614444942009,0.9271425453870528
930,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,2,auto,1,0.7952713288705313,0.8849309215211509,0.9356929212362912,0.8023922520451974,0.8907926012412046,0.9398594685582992,0.7964441034489942,0.8847954436332242,0.9362064681933784
931,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,2,auto,2,0.7953140578265204,0.8561316051844466,0.9391397236860848,0.7988355391439667,0.8718180125338758,0.9418183545542556,0.794390518389591,0.8578853645533162,0.9390863694281884
932,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,3,auto,1,0.8069505768409059,0.8611308930351802,0.935650192280302,0.8086033362230743,0.8711279222121686,0.9414805255866808,0.8056370940443804,0.8624623680290373,0.9360545469676038
933,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,3,auto,2,0.8054265774106252,0.8798604187437686,0.9374305654465176,0.815824551404399,0.8863706269282214,0.9420805253163504,0.8055123518226474,0.8803519472145159,0.9371754631684782
934,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,4,auto,1,0.7783364193134881,0.8646346674262926,0.9221051132317332,0.7896660671063075,0.8769952482106909,0.92426833327666,0.777532970548042,0.8655460614880972,0.9222213359896052
935,False,True,True,False,3,l2,1.0,sag,multinomial,50,entropy,4,auto,2,0.7798889047144282,0.8391112377154253,0.9508759435977782,0.7859809065372712,0.8512759895118368,0.9544684749171288,0.7789626246392758,0.8416745765876307,0.9513915355278784
936,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,1,auto,1,0.7902150690784788,0.8985044865403788,0.940820395954992,0.8035206261133012,0.9028858199693623,0.9439263776832032,0.7899521243876351,0.8991362220052437,0.9410745615622986
937,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,1,auto,2,0.7783649052841476,0.8883634809856147,0.9339980059820538,0.7774847057188123,0.893354779606874,0.9367381567168208,0.7758662513673991,0.8891387426303068,0.9340841912105418
938,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,2,auto,1,0.7953283008118502,0.8782082324455207,0.9323030907278168,0.7993802958517782,0.8839684533834429,0.9342439930709604,0.7949638314198747,0.8773505403536481,0.9321434444674038
939,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,2,auto,2,0.7834069220908703,0.8528272325879505,0.9289417461900016,0.7865117994382537,0.8649266562646936,0.9292799808589056,0.7827448174858733,0.8548076901324138,0.928814770492004
940,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,3,auto,1,0.7732374305654466,0.8562170630964251,0.9374305654465176,0.7811061467459325,0.8596414730140303,0.9403394120253832,0.7733951624708079,0.8563734078411349,0.9372033197971936
941,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,3,auto,2,0.8071499786355221,0.8731234866828087,0.9475430850306223,0.8115222374499342,0.8776189407262617,0.950163114726481,0.8076779261923435,0.8735705327981241,0.9477352829941856
942,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,4,auto,1,0.7954422446944879,0.8613730237857855,0.9356929212362912,0.8040641758104654,0.8741998577645038,0.9364363492015536,0.7951912152560084,0.86308986157816,0.9354343911150336
943,False,True,True,False,3,l2,1.0,sag,multinomial,50,gini,4,auto,2,0.7818117077339409,0.8460903005269904,0.93574989317761,0.7914749569209365,0.8604424302606593,0.9394233016833496,0.7811364897065991,0.8468903106067709,0.9356387757949098
944,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,1,auto,1,0.7902008260931492,0.8883349950149549,0.922176328158382,0.8042860071565338,0.8984152565393518,0.9303278074847064,0.7919010139866154,0.8894729927754392,0.9218580681905648
945,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,1,auto,2,0.7868109955846745,0.8832360062669137,0.9458196838057256,0.7935371635191426,0.890528711851173,0.9495576514966088,0.7853194877135296,0.8843022905280101,0.9459094832765348
946,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,2,auto,1,0.7866970517020369,0.8713858424725822,0.9306224184589088,0.7900514516891917,0.8766669460745792,0.9323186823570088,0.7862088289961398,0.8705510810148354,0.9308115456900684
947,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,2,auto,2,0.77668423301524,0.8731234866828086,0.9356929212362912,0.7862063833920933,0.8790698973854945,0.9373315432828082,0.7761613776576783,0.8732654230329082,0.9357364487926464
948,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,3,auto,1,0.7716707021791768,0.8764848312206238,0.927303802877083,0.7804690769030749,0.8831627492824394,0.9302072997579302,0.7713950805987597,0.8777253856027238,0.9275520866773256
949,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,3,auto,2,0.7868394815553341,0.8629682381427146,0.9373735935051988,0.7901171222142777,0.8690869871131433,0.938446284096341,0.7867421329064106,0.8635517547975837,0.9370647204322106
950,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,4,auto,1,0.7935336846603047,0.8696766842330153,0.9390542657741064,0.803833659484494,0.8789242942329129,0.9402163056926836,0.7939636126793925,0.8711582278299312,0.939138729354015
951,False,True,True,False,3,l2,1.0,sag,multinomial,100,entropy,4,auto,2,0.8105682951146559,0.8545648767981768,0.9390827517447656,0.8154079966077271,0.8617979826192153,0.941624130770534,0.8104770398822861,0.8556102986154123,0.9389906969187284
952,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,1,auto,1,0.7834211650762001,0.8866543227460475,0.9289275032046718,0.7955796156229995,0.8913739384480323,0.9302808986774558,0.7834419295138122,0.8873822246745157,0.9287874047665616
953,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,1,auto,2,0.7749181028343541,0.8781512605042018,0.9373735935051986,0.7801019433001779,0.8875466893046046,0.93806069569847,0.7748730797397084,0.8792881936057768,0.9371643845000008
954,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,2,auto,1,0.8002848597065946,0.8595214356929212,0.92384275744196,0.8064962037517711,0.8668809796310493,0.9263340386860516,0.7996102344405769,0.8595688048063419,0.92325787578103
955,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,2,auto,2,0.7817404928072925,0.862953995157385,0.9390827517447656,0.792998452270588,0.872160922235028,0.9427670694637208,0.7827233506974773,0.8635220813848916,0.9394902530565388
956,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,3,auto,1,0.7664862555191568,0.8663580686511893,0.9238427574419598,0.7844395328264688,0.8751583339390823,0.928314747721968,0.7689786904171798,0.8672617761998069,0.9244884663752668
957,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,3,auto,2,0.7969804871100983,0.8510611024070645,0.93574989317761,0.8160738275059632,0.8588141656988288,0.9367123144064428,0.7982029696879156,0.8508908693886379,0.9354711751220228
958,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,4,auto,1,0.795185870958553,0.8578122774533543,0.9475430850306223,0.8023264144325154,0.8666507955162175,0.9490091568305205,0.7958897642472091,0.8592323937389292,0.947766763471948
959,False,True,True,False,3,l2,1.0,sag,multinomial,100,gini,4,auto,2,0.7784218772254665,0.8240848881925651,0.9323030907278168,0.787895312538848,0.8348139718656735,0.9382775196143822,0.7787770027840639,0.8260828982512267,0.9326026992098466
960,False,True,True,False,3,l2,2.0,newton-cg,multinomial,50,entropy,1,auto,1,0.8019940179461615,0.8849451645064805,0.930665147414898,0.8029722465466606,0.8908307815948776,0.9338359923439709,0.8003831562257869,0.8858579562023472,0.9311234167236448
961,False,True,True,False,3,l2,2.0,newton-cg,multinomial,50,entropy,1,auto,2,0.7868964534966529,0.8917105825381,0.937416322461188,0.7954728161227267,0.8954590541799918,0.9392511955823636,0.7862119473446019,0.8926379592463494,0.9377081232641722
962,False,True,True,False,3,l2,2.0,newton-cg,multinomial,50,entropy,2,auto,1,0.8037316621563879,0.8696909272183448,0.9526278307933342,0.8101186848800873,0.8754427474798879,0.954396901420502,0.8028042249056411,0.868211734271107,0.9525856760373704
963,False,True,True,False,3,l2,2.0,newton-cg,multinomial,50,entropy,2,auto,2,0.7901723401224897,0.8527987466172909,0.9356929212362908,0.7950106263807492,0.8680942583357986,0.9385313575803524,0.7883839486369434,0.8538969493676628,0.9354964045659104
964,False,True,True,False,3,l2,2.0,newton-cg,multinomial,50,entropy,3,auto,1,0.8206808146987609,0.8798461757584389,0.9373878364905284,0.8260905591922739,0.8818033929934279,0.9398934299104524,0.8197061201386566,0.8794016938118231,0.9375315725087312
